,Restaurant_name,review_title,review_content,review_rating
0,The Golden Chippy,AMZING FISH AND CHIPS,"Best fish and chips ever. Quality fish, perfect crispy. I believe it's diffent the outcome if you work with love and they cenrtaly do.
Lovely staff, good vibes.

Great job",5
1,The Golden Chippy,The best halal chippy,"I must say was the best fish and chips ive been to. Soft flaky and succulent on the inside yet crispy crunchy and golden on the outside. This fish died and was digested in a honourable way. Great food, great service. Many thanks To ibrahim...More",5
2,The Golden Chippy,Best Fish and Chip Ever!!,The first time I had The Golden Chippy is when I bought a takeaway and the foid was amazing. Now that I am eating in the food is deliciously mouth watering and fresh! Everyone here is so friendly.. I couldn't ask for a best service...More,5
3,The Golden Chippy,If not one of the best chip shops in South London...,"If you are ever in the Greenwich, (Cutty Sark) area, and you like the English traditional fish and Chips... highly recommended that you visit Golden Chippy. I go there whilst at work and socially... Always welcoming Chips always on point along with his fish, chicken,...More",5
4,The Golden Chippy,Thank You Chris for an amazing birthday!!!,I found this place while searching for fish and chips in the London area. It was awesome to find that the food was amazing! What was even better is that Chris and his staff made the whole experience even more amazing! He helped me celebrate...More,5
5,The Golden Chippy,"Fresh, tasty food, with variety","We just spent 12 days in London Greenwich and ate at the Golden Chippy 11 of those days.  Chris, the owner, with his Britsh flag hat, cooks your order and only the best will do.  He's the friendliest bloke you could meet and a real...More",5
6,The Golden Chippy,BEST FISH AND CHIPS,"recently traveled to London with a group of friends to visit my boyfriend who lives in London. When he told me the golden chippy had the best fish and chips, he was not lying! Not only was it absolutely delish, but the serving size was...More",5
7,The Golden Chippy,Best Fish and Chips in my life!!  Adam & Catalina from Greenwich/Stamford CT,"Golden Chippy seems to be very well known amongst respective fish and chip connoisseurs, and for good reason.  This small-yet-cozy establishment manages to produce the most perfectly battered and fried fish I have ever had.  Without ever being oily, the crust is to die for....More",5
8,The Golden Chippy,Very good fish and chips - cooked fresh,After a long day doing the sights around London we arrived at our hotel in Greenwich. It was early evening and the prospect of taking a 6 year old back out when he had already walked 8 miles was rejected in favour of sending Dad...More,4
9,The Golden Chippy,Best Fish 'n Chips in London,I from Boston (USA) and was in London last week.  My daughter has been a student in London for the last year and local friends told her that The Golden Chippy had the best fish 'n chips.  They were absolutely spot on!  The staff suggested...More,5
10,The Golden Chippy,Deserves its reputation,"Fantastic meal, great service, friendly and welcoming. A must visit if you are in the area. Will be back!",5
11,The Golden Chippy,The best and delicious food,"The best and delicious food in London
Also, the chef was so kind and friendly
I will visit it again, again and again. ♥️",5
12,The Golden Chippy,Cod fish and chips is the,"Cod fish and chips is the BEST, this is the best fish and chips restaurant in London, i wish if we have a branch in my country, anyway the staff are very generous, will visit them again for sure 👍🏼",5
13,The Golden Chippy,The best fish & chip shop in London !!!,"If your ever in Greenwich, then you must visit the golden chippy.There fish & chips are to die for.The batter on the cod is superb & the chips are not far behind, to get them both looking & tasting good is a fine art. These...More",5
