,Restaurant_name,review_title,review_content,review_rating
0,The Gurkha Restaurant,Excellent!,"Excellent service, great food, warm and friendly restaurant with a great atmosphere.  This was our first visit but we'll definitely be going back.",5
1,The Gurkha Restaurant,Lost for words 🙃😕☹️,"Where do I start, used trip advisor to find an India to eat in as not being local we hadn’t a clue, unfortunately trip advisor recommended the Gurkha! 🤔 

1. If u want to be warm get yourself a £800 Canada goose coat or freeze...More",1
2,The Gurkha Restaurant,Amazing service and even better food,Headed out for dinner with the family and had such an amazing experience. The food was perfect with lots of flavour and the staff couldn't have been friendlier or more attentive. Can't wait for our next visit!,5
3,The Gurkha Restaurant,Excellent meal,"During my Christmas holiday in the UK, I visited this restaurant with my son.

We asked the waiter to explain what some of the dishes were and he very gladly helped. I noticed that there were venison dishes on the menu, this was new to...More",5
4,The Gurkha Restaurant,Best restaurant ever!,"Nepalese food. No idea what that was. I've got to say it was amazing. The service was great and the food was the best I've had in ages. For those like me who don't know Nepalese food is, its similar to Indian but much more...More",5
5,The Gurkha Restaurant,THE WORST INDIAN I HAVE EVER TASTED!,"Called and asked for delivery and was told they don't deliver, when I stated that the website says they do they changed there tune and delivered.

The food was cold, overcooked and has absolutely no flavour what so ever. Would of got more FLAVOUR from...More",1
6,The Gurkha Restaurant,Amazing...,"A group of us booked here following a recommendation from a friend, the service was amazing and every dish was superb.. definitely going back, maybe even tomorrow!",5
7,The Gurkha Restaurant,Not open!!!,"Booked a table on line for Tuesday lunch with my daughter ( special treat) paid £7.50 for local car park, walked to the restaurant and CLOSED. Although having my booking  confirmed. Terrible.!!!",1
8,The Gurkha Restaurant,Excellent Restaurant,"First meal out after xmas. Wanted to minimise the damage after over indulging over the festive period. Chose to go vegetarian and it was excellent. I ordered off the menu , but was told I could have anything I wanted in any combination of vegetarian...More",5
9,The Gurkha Restaurant,The most outstanding Restaurant in Chelmsford,"My wife and I selected the Gurkha restaurant for our monthly evening out. The reason for the choice was because on our last visit, the food,service and atmosphere were outstanding.
On our arrival i was amazed that the owner Harka Meek recognised us and welcomed...More",5
10,The Gurkha Restaurant,An evening out,"We have been coming here for around 6 years, once a month, without fail. The food is excellent and the service attentive and professional. I hope it remains just as it is",1
11,The Gurkha Restaurant,Impeccable service,I visited the Napalese restaurant with my boyfriend as I walk past it every day and fancied trying something new. The young man who served us was impeccably polite and attentive. He made us feel special even though it was a random Thursday impromptu dinner....More,5
12,The Gurkha Restaurant,Great place,"Tonight was our Second visit to this restaurant, the first being last week !
The food is very very good and the service is spot on .
The waiters are so helpful and couldn’t do more !
The menu is interesting and varied and quality...More",5
13,The Gurkha Restaurant,Delicious and amazing service,Really good food and even better service. Would certainly recommend. No ‘korma’ in sight and lot of interesting dishes,4
14,The Gurkha Restaurant,Great food and service!,"Had a lovely meal here after almost giving up on finding a decent curry house. The staff were very friendly and happy, which really added to the atmosphere of the place. The only thing missing was some onions/additional dips with the poppadoms but that was...More",4
15,The Gurkha Restaurant,Brilliant,"Amazing food, great choice and great value. Fresh and flavoursome food delivered by an attentive and professional team.",5
16,The Gurkha Restaurant,Good end to the day,"Great food and drinks 
Pleasant surroundings 
Service very good 
Reasonably price , you pay for what you get and mine was very good 
Thanks",4
17,The Gurkha Restaurant,Delicious  Dinner,We went with  6 friends and had a very delicious dinner on a Saturday night. Very friendly service and great advice on the quite large menu. We were all very happy with our choices and the service was excellent. Nice touch at the end was...More,5
18,The Gurkha Restaurant,Recommended,"Went for a birthday lunch for my brother today and we all enjoyed the food.
There were not that many people there today it being a Sunday I guess, the service was fast and efficient and the waiter was friendly and helpful.
Would not hesitate...More",5
19,The Gurkha Restaurant,Excellent food and service,My first visit to the Gurkha Restaurant on Tuesday evening was fantastic. The food was excellent and the service really good. Would recommend and will be back!,4
20,The Gurkha Restaurant,Sharon,Excellent food and service. I've been here many times and I have never been disappointed. The staff can never do enough to help.,5
21,The Gurkha Restaurant,Great food and service,"Firstly the place needs a face lift, it's a bit outdated, the chairs are all worn and it looks like its straight out the 80's. That's where the bad stuff ends....

Great food, prawn curry was plentiful, lamb was tender and not fatty or chewy,...More",4
22,The Gurkha Restaurant,Amazing Food,"Such a tasty meal and served by lovely friendly staff, such a special treat coming to this restaurant",5
23,The Gurkha Restaurant,Very friendly staff,"The staff are so welcoming and genuinely want you to have a great time. The food is great, service is great, but the only thing I would say is, the lighting does seem a little dark in there. It is a very ambient and relaxed...More",4
24,The Gurkha Restaurant,Fabulous service & food!,"Been here several times and really cannot recommend it highly enough - it simply never disappoints! The staff are amazingly attentive and polite, without being intrusive, the restaurant is clean with a great atmosphere - relaxed and pleasant - and the food is simply fabulous...More",5
25,The Gurkha Restaurant,Lovely...again.,"We have eaten here 5 or 6 times. Lovely atmosphere, great service and really tasty food. Can't fault it and 100% recommend.",5
26,The Gurkha Restaurant,My First Time,"My brother and his girlfriend are regulars here and took me this evening for the first time.  I loved everything about it.  Good food - spicy & mellow, hot but not fiery.  Excellent range of dishes to choose from on the menu.

Staff and owner...More",5
27,The Gurkha Restaurant,Superb ,"Ok, so it’s about 7 weeks since last review and in that time I’ve been back to the Gurkha twice for takeaways and twice eat in. Why do I use this restaurant so much you ask ? Quite simply its superb, the food, the hospitality,...More",5
28,The Gurkha Restaurant,Superb,"Amazing food, attentive staff and relaxing surroundings. Excellent value for money and highly recommended",5
29,The Gurkha Restaurant,Simply Outstanding - always.,"I meet an old friend here regularly and we spend the evenings talking about cars, jobs, and life. The venue couldn’t be more enjoyable with the warm and friendly team and, of course, the fantastic freshly prepared and flavoursome dishes that never disappoint. The recommendations...More",5
30,The Gurkha Restaurant,The Gurkha,"Another lovely meal tonight! Celebrating with tom and pete, 
My chicken shashlik was delicious!  This Nepalese restaurant is the only place I will eat in Chelmsford  with no complaint ever !!",5
31,The Gurkha Restaurant,Excellent,We had a great night here last night.  The food was amazing and the staff couldn’t have done more.  If u haven’t been then definitely worth a visit.,5
32,The Gurkha Restaurant,Wow,This restaurant never fails to present beautiful fresh and full of flavour food its so tasty. The staff are so friendly and always make you very welcome.,5
33,The Gurkha Restaurant,Nice find,"Following a business trip this week, we stayed in Chelmsford and happened to stumble across the Gurkha restaurant, food was good and quick in coming out, would certainly visit again when in the area.",5
34,The Gurkha Restaurant,Great evening ,"Beautiful food with a great host and staff. My partner had the mish mash and I had a Nepalese chicken dish, both very nice.",5
35,The Gurkha Restaurant,Lovely as usual,"Had yet another fab meal here, such good food and service. We are regulars here and always enjoy the food.",5
36,The Gurkha Restaurant,Great place,Great food that takes the best of Indian and adds a bit more. Staff were really friendly and the prices are very fair.,5
37,The Gurkha Restaurant,Consistently fantastic restaurant,"I have been a regular here for many years. The nepalese food is fantastic, I have so many favourites but the secuwa is a great starter and the Sherpa Kukhura my favourite main. That said the Sunkosi Salmon is lovely. The staff are very friendly...More",5
38,The Gurkha Restaurant,So bad,"Went to the restaurant tonight which was absolutely empty at 6 o'clock and was still told to wait for a table 
 After 25 minutes still no service would never recommend this restaurant disgusting service horrible place",1
39,The Gurkha Restaurant,Excellent food and service,Dine last evening prior to theatre visit.  Food was excellent and excited the taste buds.  Waiting staff were attendant without being intrusive.  Would i dine there again - most certainly.,5
40,The Gurkha Restaurant,Fantastic Service and great food,"A warm welcome on a Thursday night, coupled with amazing food and attentive, friendly service. I’ve only been here twice and I’ll definitely be returning for my next fix of Nepalese taste sensations.",4
41,The Gurkha Restaurant,Warm welcome amazing food,We visited on a Thursday evening. We were met with a warm welcome and subject to amazing service.  We enjoyed amazing food and so cannot recommend this restaurant enough we will be visiting again soon,5
42,The Gurkha Restaurant,Another excellent meal ,Visit The Gurkha every six weeks with group of friends.  We always receive a warm welcome from the owner and find the staff attentive and knowledgeable of the menu.  The food has always been to a great standard and have yet to be disappointed with...More,5
43,The Gurkha Restaurant,Same Superb Standards,Once again a superb meal in great surroundings. Whatever we try on the menu nothing disappoints. Super service and very fair prices. I don't think there is better 'curry' anywhere around. Try it. You won't be disappointed.,5
44,The Gurkha Restaurant,5⭐️,I think most people who know me know I’m in the Gurkha if I’m not at home 🏠  The food here is superb and to me has far more flavour than Indian. What would I recommend ?? well over the last few years Ive eaten...More,5
45,The Gurkha Restaurant,Birthday meal,Excellent service and quality Food. Second time to this friendly restaurant and it didn’t disappoint.,5
46,The Gurkha Restaurant,Birthday meal ,Meal with Friends made very welcome been back a few times last time a large party this time just 4 as well as take out. Fabulous service. Welcoming staff. Food cooked to order flavoursome tender meats and plenty of. Fully recommend the lamb Raksi Khasi...More,5
47,The Gurkha Restaurant,Great night. ,Another great night. Noises as there were a lot of people there but as always the food is fantastic. Service by the owner is always personable and encouraging. Staff are always helpful and the venue is good. Do go.,5
48,The Gurkha Restaurant,Always lovely,"Great food, great menu (particularly the specials), great service. Always a pleasure and very much recommended!",5
49,The Gurkha Restaurant,Amazing food,"Good food and service. If you not sure what you want,they will help you and if you start to order to much then they will tell you",5
50,The Gurkha Restaurant,Great find,"Sea food mishmash was superb, as was the pilau rice, onion bahji and the service.
The next time we’re in Chelmsford we will eat here again, maybe we will see you at our restaurant in Kent ! 😊 take care lovely to meet you Peter...More",5
51,The Gurkha Restaurant,Dinner with Husband,This restaurant serves exceptionally high quality food with fresh ingredients and we always choose the healthy options.  Everything is always cooked to perfection and we always receive the warmest welcome from the family who run this business.  We have been coming here for many years...More,5
52,The Gurkha Restaurant,Horrible,Very bad curry Come out completely wrong wasn’t a very good taste curry way too spicy just overall very bad experience don’t no what,1
53,The Gurkha Restaurant,Exceptional,"From the well kept spacious car park to the welcoming smiles this place never disappoints, fabulous food , great service and all at reasonable prices , they even have bedrooms , treat yourself to some country air and good food.",5
54,The Gurkha Restaurant,Absolutely FANTASTIC,"I was visiting the area with two colleagues and researched online where to eat. I found the ghurka restaurant through trip advisor and booked online. We arrived on a Wednesday evening and it was busy, a great sign.
The waiters were helpful with recommendations and...More",5
55,The Gurkha Restaurant,Lovely staff!,"Really enjoyed our visit this evening! Tagley and the other staff members were very attentive and went out of their way to make sure we had everything we needed. lovely food, fab service and great beer, would recommend!",5
56,The Gurkha Restaurant,Lovely meal,"Have eaten many Indian meals over the years and this was something a little different. Lots of recognisable dishes but some that were refreshingly different. Staff were polite, friendly and helpful. House wine was reasonably priced and more than acceptable. The party felt it was...More",5
57,The Gurkha Restaurant,Great food friendly staff,"Really friendly staff who don’t hover by your table all the time. Menu had lots of dishes you wanted to try and not the same as every other Indian. Food was clearly freshly prepared and really good,  especially the side dishes and fresh nann. 

Will...More",5
58,The Gurkha Restaurant,Fathers Day celebration,We have eaten in this restaurant a few times now. The service is first class and so is the food. Consistently excellent. Superb tasting food. If you like Indian food you should try this restaurant.,5
59,The Gurkha Restaurant,Fathers day delivery,"Two different chicken dishes with same bland chicken chunks covered (not cooked in } two different sauses. Everything was luke warm. Bread was dry and both venison starter and lamb main dry and gristly , Have eaten in this restaurant many times which was good...More",1
60,The Gurkha Restaurant,Fabulous food,"Meeting a work colleague and her husband for dinner, we ate here as it was recommneded.  The service was great, the food was delicious and plentiful.",5
61,The Gurkha Restaurant,Outstanding restaurant glowing behind a simple exterior,The product on offer in this restaurant is excellent and the service was extremely friendly and helpful. The starters are sublime whilst the mains had us spoilt for choice. Anyone going must have the Gurkha Beer which has a lovely flavour and comes in a...More,5
62,The Gurkha Restaurant,Family dinner,Couple of nice dishes but mostly bland or very sweet. Waitress attentive friendly and helpful however waiter  seemed completely uninterested. 3 courses with drinks for 3 people came to £125. At £40 a head this was extremely disappointing.,3
