,Restaurant_name,review_title,review_content,review_rating
0,The Ledbury,ONE OF THE BEST IN LONDON!!!,"There no words to describe the gastronomy experience in Ledbury!!!
We had a ""six courses"" tasting menu and we really enjoyed from the beginning to the end.
The service was perfect and the atmosphere in general..
You must try it!!!",5
1,The Ledbury,Excellent set menu lunch.  ,"All four of us selected the set four course lunch menu.  Chantilly of Oyster, Tartare of Sea Bream and Frozen English Wasabi, followed by Steamed Romanesco, Shellfish, Seaweed and Lemon.  Then Cheek of Red Deer, Salt Baked Celeriac, Beetroot and Pickled Walnuts and finishing off...More",5
2,The Ledbury,Attention to detail,"The real deal! This place is fantastic we did 8 course taste menu with wine pairing. I couldn’t fault it... not just the food but the service was impeccable, unlike some top end eateries in London there was no pretence, unlike the likes of restaurants...More",5
3,The Ledbury,"Fabulous food, service can be better",Always wanted to go here and finally got to visit last week. The reputation precedes itself! The food was exquisite and looked like it belonged in an art gallery. The squid risotto was one of the best risottos I’ve ever had outside of Italy! It...More,4
4,The Ledbury,One of the best there is,"We had dinner o  the Jan.21st
My birthday.It was one of the most memorable dinners ever!
The quiet friendliness and attention to detail were so precise.The food, oh the food (!) was increfibly good and inventive.Every bite - surprize( in a great way).The Cheff was...More",5
5,The Ledbury,Average Michelin star ,"This wasn’t we were expecting from a Michelin star restaurant , rather disappointing.
Food was bland . No flavors what so ever . 
Extremely pricey for this sort of food !£145 for vegetarian 6 course and £155 for non- vegetarian 6 course dinner  
Glass of...More",3
6,The Ledbury,Nice food but disappointing for a 2* Michelin restaurant,"I took my Mum and our partners here recently for her 70th Birthday celebration. The atmosphere was fairly informal and very friendly. Service was good, but not particularly noteworthy. Having been to quite a few Michelin * restaurants, this one was disappointing, both from a...More",3
7,The Ledbury,Very Good... but... ,"We had the 6 course tasting menu, the food was excellent, fabulously presented with some really interesting textures and flavours. 

My only niggle is that as attentive as the service was, initially it felt very rushed, courses appearing almost immediately after finishing the last which...More",4
8,The Ledbury,50th birthday of our friend Victor,We had a very nice lunch for the bithday of our friend. We had a table for 6. The lunch was perfect and the staff made it a real party for us all. Thanks,5
9,The Ledbury,Outstanding,"I was a guest at lunchtime in a party of 4 and we opted for the four course set menu and our host chose the wines rather than pairing. Every moment of the occasion was outstanding. The greeting, the staff who were friendly without being...More",5
10,The Ledbury,Iconic dinner place,This is the restaurant you need if you think of something special. Amazing interior and unusually served dishes are the ingredients for a delightful dinner with your beloved ones. The staff are beyond nice and extremely pleasant. Let them know if you have any requirements...More,5
11,The Ledbury,Just wow,"My husband and I came here for our first wedding anniversary and it really was unbelievable from start to finish. The staff are unpretentious and some of the nicest people we have ever met, they were happy to stand and chat to you and were...More",5
12,The Ledbury,I was not feeling well but I get to eat something...,Thanks to the chef who sorted me out with this lovely soup and ginger ice cream. I did not expect to eat anything at all but thanks to your lovely staff I had this delicious Spanish parsnip soup.,5
13,The Ledbury,"The Ledbury in Nottinghill, man what a frill !!!","We went to the Ledbury for a special occasion & as always the cuisine was superb, we had the tasting menu, coupled with the wine menu & it just took the meal to another level. As always the service was second to none, they have...More",5
14,The Ledbury,Top dining experience,"Wonderful menu, great service, amazing mix of tastes, very nice distance between table and considering the Michelin star not extremely expensive. No doubts the best London dinner so far in the last 7 years",5
15,The Ledbury,Tasting Menu not up to standard,"A bit disappointing in terms of the menu and what you would expect from a 2 star restaurant.  None of the four courses looked special, tasted outstanding and for an £80 per person cost a bit of a let down. All courses were a bit...More",3
16,The Ledbury,Boring stuff first - they,Boring stuff first - they have a credit card linked 48 hour cancellation policy with an 80pp no show charge. Fair enough I guess - no doubt they get people no showing. But just be careful of this if you want to avoid getting in...More,4
17,The Ledbury,Absolutely Gorgeous - A Must!,"My wife and I visited The Ledbury last night  with our friends and it was absolutely perfect. 

Whilst the restaurant is Michelin starred the casual approach and fabulous food is perfect. 

We chose the 6 course tasting menu with cheese supplement for the table and...More",5
18,The Ledbury,Wow really boring uninspiring menu,"We have been going to the Ledbury for many years. We have loves our meals over these years. Tonite's meal was boring, uninspired and a bad combination of really awful seafood and deer.  I would rather have had fish and chips at the Westbury than...More",1
19,The Ledbury,Outstanding,Everything about the Ledbury was as good as you would expect from its repuation.  Simply outstanding with the highest quality of food executed with the greatest attention to detail.  Of particular note was the service - spot on and attentive without any any way being...More,5
20,The Ledbury,Fabulous anniversary lunch,"We celebrated our wedding anniversary with a lovely lunch at the Ledbury, which was a wonderful experience.  The food was truly amazing - fabulous flavours and textures.  The wine flight worked really well too.  The service was impeccable - very friendly and efficient without being...More",5
21,The Ledbury,A very special place! Attentive,"A very special place! Attentive service and wonderful, imaginative dishes. Book now, the wait will be worth it!",5
22,The Ledbury,Best ever yum,"Bets spot for brunch and wines, was with the girls and we ended up here all day. Only come if you are hungry!",5
23,The Ledbury,Superb,"Fully deserves its two stars. We loved our dinner at The Ledbury. Great tasting menu, paired wine and service. Highly recommended,",4
24,The Ledbury,Great experience!,I had dinner at this place and my experience was fantastic. The food was AMAZING and the wine pairing was perfect. The location is beautiful and very elegant and the service was superb! 5 stars from me!!,5
25,The Ledbury,Worth every penny...,"Had the tasting menu with wine pairing, absolutely amazing. Having done fine dining all over the world, this rates right up!! Jack and Tom took care of us and they did not disappoint.",5
26,The Ledbury,Very talented chef and team,The Ledbury has a great reputation and currently holds 2 Michellin stars. Great premises in Notting Hill- stylish and elegant but not the least bit stuffy. Chef is an australian called Bret Graham who sets the very high standards. Tasting menu is £165 or £275...More,5
27,The Ledbury,Superb,"When you dine at the Ledbury you are guaranteed a fine dining experience of the highest class, with the food, the wine choice, the front of house staff overseen by the redoubtable Darren McHugh and the atmosphere all contributing to the standard of excellence. Every...More",5
28,The Ledbury,Not your usual Michelin-starred Restaurant,"We went through hops to get a table at Ledbury.  However, after reading some of the negative reviews here I was a bit worried about our choice.  Anyhow, we went there on a Thursday evening and the experienced was quite different from other Michelin restaurants...More",5
29,The Ledbury,Absolutely epic.,"Recently visited the Ledbury after travelling done from the Lake District for a family members birthday and we were not disappointed. Only one word can be used to describe this restaurant - epic. 

From the minute you walked in the staff were friendly, polite and...More",5
30,The Ledbury,Nothing bad but nothing spectacular either,"I read a review ""The Food is for Instagram not the Mouth"" and I think this sums things up very well.

Fundamentally we found nothing wrong with the meals, presentation was generally very good but there was nothing particularly delicious or extraordinary on the flavour...More",3
31,The Ledbury,Superb place for a celebration,"I have been here a few times for birthdays etc and our latest visit two days ago was easily the best. Quite exceptional service and staggeringly good food (tasting menu).
The Ledbury has been in business for some years now, but I do believe it...More",5
32,The Ledbury,Superb,"It is not cheap, but food is gorgeous and delicious, such delicate flavours. The experience wa superb, service amazing and decor just beautiful....",5
33,The Ledbury,Good experience,"Food was excellent, service unhurried, attentive, polite and with humour, nice ambience without any noise. Hefty wine markups, but that's life. Three hours well spent.",5
34,The Ledbury,Unexpectedly good,"Didn’t didn’t much research and didn’t know it’s two Michelin Star.

This was not the original choice but it has seats for the right time and the right date. We tried the 8 course tasting menu. Winner goes to the candy beetroot with eel. First...More",5
35,The Ledbury,Superb in every way.,"Without doubt a dining experience to savour. From the wonderful staff, to the relaxed and totally unstuffy atmosphere, to the exquisite food, so beautifully presented, dining here was a joy. The tastes and textures in the Tasting Menu were a revelation, each course was a...More",5
36,The Ledbury,Wonderful Birthday Dinner,"We had a lovely evening at the Ledbury celebrating my birthday. Overall, the experience was great. The staff were friendly and attentive. The ambiance was classic and elegant. The one thing keeping me from giving 5 stars is the food. All of the food was...More",4
37,The Ledbury,Still the best for me,The Ledbury remains one of the very few restaurants in London where the staff really look after you. Yes the food is top notch but the timing of the front of house is perfect. See you soon,5
38,The Ledbury,Anniversary dinner ,"Visited to celebrate our 10th wedding anniversary and what a great choice.

After visiting other Michelin star restaurants in London this was our first try of the ledbury and we were delighted.

The relaxed atmosphere throughout the evening was lovely.and the front of house team...More",5
39,The Ledbury,"Wonderful food, excellent service, pricy but worth it","My husband came here as part of a wedding gift and had one of the best meals of all time. The food was stunning and the environment, the setting and ambiance was really lovely. Lovely little extra touches too, which make you feel well looked...More",5
40,The Ledbury,"What a Great Restaurant for a Special
Occasion!","My husband and I were lucky enough to be able to get a reservation at The Ledbury to celebrate our anniversary! The Ledbury is very pretty and knows how to treat their patrons! 
We sat down and were immediately wished a Happy Anniversary and were...More",5
41,The Ledbury,Excellent,"We had the tasting menu at the Ledbury and it was excellent. The food was exceptional and the staff were very knowledgeable and friendly, they made us very welcome. Yes it’s not cheap, but we’ll worth the money",5
42,The Ledbury,This Restaurant 10 Star rating,If you only go to one stand out restaurant in London - make it The Ledbury. Hint: go for lunch there is a sensational set menu for GBP80.00. The taste sensations of each course is out of this world accompanied by a suggested wine from...More,5
43,The Ledbury,3.5*,"The food was amazing. Aesthetically you can't fault this place. Staff on the other hand could improve there service a bit. We weren't being picky or constantly calling them over. We simply needed to know which meals had nuts, olives and radish in as my...More",3
44,The Ledbury,Good for London,"After the terrible 3-stars French restaurant in Bray we've been the night before (which I strongly suggest you to avoid, The Ledbury was for us like heaven (except for the small and bad positioned table we've been given). Anyway I must say the experience with...More",5
45,The Ledbury,"Brilliant, but...............",OK - let me say that everything you read in the other reviews is right.  The service is friendly and very efficient.  The restaurant is airy and light with plenty of room between tables. And I loved the tasting menu with their selected wines.  If...More,5
46,The Ledbury,Welcoming and wonderful experience ,"We chose the Ledbury as a London special treat, on the recommendation of friends who dined there in the past,  and it certainly met our expectations. The staff - there are many and from many different countries and backgrounds - were warm  and took time...More",5
47,The Ledbury,Outstanding ,Opted for the 8 course taster and every course was outstanding. Impeccable service in a relaxed dining room. Shall return soon :),5
48,The Ledbury,"Amazing, a Must! ",So so good. Every piece of food that was brought out was like a piece of art. We got the tasting menu and were more than satisfies with the the amount of food. I don’t east red meat and our friends eat Kosher and the...More,5
49,The Ledbury,Second visit and just as fabulous ...,"Is anyone cooking better in London?  It’s the Ledbury or Clare Smith (CORE) for me.  Absolutely fault free cooking, wonderful wine pairing and impeccable service.  If this is two stars what does it take to be three?  As close to perfect as you can get!",5
50,The Ledbury,Twice,"I have been there twice and each is amazing experience.  Very personalised, friendly & relaxed atmosphere & service. Guaranteed to be one of the best meals you'll have",5
51,The Ledbury,Outstanding - Darren was brilliant!,"The dinner was absolutely incredible, as anticipated. We were very pleased with all 4 courses but what we were particularly impressed with was the outstanding service. I happened to mention to the general manager, Darren, that I was going to Dublin this weekend and five...More",5
52,The Ledbury,Perfection,"Went for lunch on a Saturday to celebrate a birthday. The service was excellent, the restaurant is beautiful and the table setting is superb.

The tasting menu is absolutely delicious and a celebration to the eye.",5
53,The Ledbury,A return trip:  this is perfection in fine dining,"Our second time here this year.   The restaurant is amazing.   The staff are without exception all excellent and willing to converse.   The food is perfection, each item lovingly created.   Wonderful tastes,   This is perfection in service. 

We had the tasting menu and we had all...More",5
54,The Ledbury,Really good,"This place is really good, the food is good and the presentation will blow your mind. Definitely a good option for a special date. If you really want to treat yourself, highly recommend the Tasting Menu..it will give you a clear impression of what this...More",4
55,The Ledbury,Fine Dining and Superb Service,"We loved this place! We spent 6 days in London and enjoyed a superlative dining experience here for our anniversary. The location and atmosphere are a study in understated and cool elegance, the staff is professional yet warm and engaging, the sommelier helps guide you...More",5
56,The Ledbury,fantastic food and service,This place is a truly special treat. Service was amazing and the food beautifully presented and tasted amazing. They worked very well with my intolerance's also and even created courses for me as I could not eat some of the food in the main menu.,5
57,The Ledbury,At last a restaurant worthy of the hype and those stars....,"I have been disappointed many times in the past with over priced and much hyped Michelin star restaurants. 

At last we found one that was worth every penny! 

What an amazing experience.
Food was world class - but you would hope so for the price....More",5
58,The Ledbury,Great food with great service,We went here as a foursome to celebrate two birthdays. The staff were extremely efficient and the whole meal was served seamlessly. At no time were we left waiting for the next course- which has happened in several Michelin starred restaurants before now. It is...More,5
59,The Ledbury,Quite simply stunning ,My cousin likes his Michelin star restaurants and he was particularly keen to visit here.  I can safely safe that the food I had here was the best I have ever eaten - every dish was beautifully prepared and lovingly presented. A lot of my...More,5
60,The Ledbury,Perfect in EVERY way!,"The Ledbury is perfection. The place is minimalist but super comfortable, the service is stunning and the food was gorgeous and delicious.  Not a single miss among the dishes served. We did the wine pairing and mentioned a few dislikes prior, and the Sommelier made...More",5
61,The Ledbury,EXCELLENT FOOD AND SERVICE,We went to The Ledbury to celebrate my daughter's birthday.  We all had the tasting menu with the wine flight.  The food was absolutely fabulous and all the wines went very well with each course.  The staff were extremely knowledgeable and very friendly with happy...More,5
62,The Ledbury,Eat like a king,"Everything is just perfect, service, ambient, food...a terrific experience. A must in London!
Two stars Michelin that show in every bite.",5
63,The Ledbury,superb food,love it!superb food.our waiter was very knowledgeable and good with his wine skill.making spot on wine recommendation.after analysing the review I came to dine and didnot disappoint.,4
64,The Ledbury,Amazing birthday dinner,"Exceptional service and food. Celebrated my husband’s 40th here at our first Michelin star rated restaurant and we were blown away at the service, attention to detail and the food.",5
65,The Ledbury,"Beautiful food, wines and Service",This was a wonderful food and wine experience in a relaxed atmosphere. I love to eat so I have been to many restaurants like this but in the States they all act as if you are lucky to dine there and they know more than...More,5
66,The Ledbury,Very good food and good service,"We booked a table for four to meet up with some old friends for lunch and a catch-up.  The restaurant is nice and light with big windows, ideal on what was a wet dull day.  Very efficient front of house staff, friendly and welcoming.  There...More",5
67,The Ledbury,Superb,"Four of us had the tasting menu and wine flight which we all enjoyed immensely. The meal started with 3 excellent canapes and proceeded smoothly thereafter. The atmosphere at the Ledbury is relaxed but the service is impeccable and friendly. We particularly liked the sommelier,...More",5
68,The Ledbury,"Good food, service, atmosphere- overpriced",Two of us booked the nine course tasting menu plus cheese plate and a glass of wine each and our total bill was $447. The sommelier was excellent and she chose our wine perfectly as we described what we wanted. The atmosphere was nice and...More,4
69,The Ledbury,Very good and recommend,"I was there with my family and we were positive surprised. Staff, service, food everything were too good that I have to write comment here. Just keep it UP!",5
70,The Ledbury,Amazing lunch!,"Had lunch at the ledbury with the Mrs. Was warmly welcomed by the restaurant staff who explained the menu and the different offerings We decided to get one lunch tasting w wine pairing and one ala carte.
The food was amazing! Flavors were on point...More",5
71,The Ledbury,Amazing Food and Atmoshpere,"We had been to the Ledbury 8 years ago and loved the food... So on this trip to Europe, we booked Friday Dinner...

It was amazing!!! The food was exceptional... Well paced, plated and the flavors were amazing.

But this restaurant is a great example...More",5
72,The Ledbury,Excellent in every way,"What a fabulous place the Ledbury is. The taster menu was spectacular, no theatrics, just a succession of beautiful dishes each one as good as the previous. From the canapés to the dessert everything was faultless. The flavours were well balanced and delicious, the ingredients...More",5
73,The Ledbury,Impeccable ,Loved the food and the tasting menu. The service was excellent too. The atmosphere was great but not stiff for restaurant of this calibre.,5
74,The Ledbury,First Class,We were tremendously fortunate in securing a table with little notice  Tasting menu is superb. Every course was well thought through and totally delicious.,5
75,The Ledbury,"Impeccable service, food missed a bit","I think my expectations were set too high for this one.  I came here with my father, mother and friend and while we had an amazing meal, we all left a little disappointed.  The service was next level.  Incredibly attentive and deserving of all the...More",4
76,The Ledbury,Faultless - fine dining & fine service,"I was fortunate to have been to The Ledbury  before for a business lunch, but this was for a celebration of our wedding anniversary. 

We were slightly early for our 12 noon booking but greeted warmly. We had booked via a bring-your-own wine deal via...More",5
77,The Ledbury,Heat is on!,"The food is fantastic and the service is good as expected since it is a 2 star Michelin restaurant. However , due to the heat wave in London , the air conditioning in the restaurant is not strong enough and they have to open the...More",4
78,The Ledbury,Ingenuity executed to perfection ,Two Michelin stars well deserved. Every course was exceptionally refined and well executed. Unique ideas and a fantastic experience.,5
79,The Ledbury,Fine dining of the highest order !!!,"We haven’t been to the Ledbury for a while now. So we thought it was about time to check out if the cuisine is still of the highest order. Well the good news for us & all future diners, is that standards of the cuisine...More",5
80,The Ledbury,One of my Favourite Restaurants!,"You are probably wondering why I’ve only given this restaurant a very good rating instead of excellent! This will be addressed at the end of my review!  
The staff here are wonderful and put you at ease as soon as you walk through the door....More",4
81,The Ledbury,Excellent food if you can afford it,"Honestly nothing I can add to describe how delicious the food offer here, but you must well prepare a huge pay cheque for these.",5
82,The Ledbury,Still the Best,"London's restaurant scene continues to improve, but one thing does not change and that is the consistent quality of The Ledbury.  Warm and inviting hospitality; technically thrilling food, a first rate wine list and really knowledgeable sommeliers who know which of their wines are tasting...More",5
83,The Ledbury,Outstanding 6 stars,"This was a massive family celebration of birthdays, anniversaries, return to the UK after years abroad......The whole evening was outstanding. Food, service, wines, ambience, table position, sublime.  Described by daughter as best food ever.  Recently visited a London 3 MS establishment and it was nowhere...More",5
84,The Ledbury,Amazing place,Had four course menu. Food exceptional. Lots of extras and aperitifs were provided. Every member of staff was friendly and went out of their way to make this dining experience a fantastic one. Will be back :),5
85,The Ledbury,Truly exceptional dining experience,"From the moment we arrived, the experience began. All the staff are exceptional, friendly, knowledgable and make you feel very welcome and relaxed (other restaurants should take note). We chose the six-course tasting menu which was delicious and faultless. As it was my birthday, a...More",5
86,The Ledbury,Exceptional,"Came here for my partners birthday, which I let be know when I booked, the birthday card on the table and the little treat at the end said it all. Thank you to all the staff, a cherished moment and food to die for. Worth...More",5
87,The Ledbury,Excellent!!,I have no words for this place.Amazing food and service.Our waitress help us with our wine and the food also.Recommended!,5
88,The Ledbury,Elegant dinner,"The Ledbury offers diners a truly lovely experience; from the beautiful contemporary decor to the gorgeously plated food and escellent service, it is entirely a fine dining event. An evening here is good for romance or any celebratory gathering.  Note: While each dish was delicious,...More",5
89,The Ledbury,Well done,"What a amazing Experience🌟
Less is more. The food was perfect in every aspect. Razor sharp ingredients, gently cooked. The Staff should have a star on their own.
Along with the Champagne Blanc de Noirs from Guillaume Sergent it matched perfectly well.
The Champagne was...More",5
90,The Ledbury,Excellent!,"The service is faultless and every dish delicious.The beef was one of the most tender pieces of beef I have ever eaten. The Ledbury is generous with amuse bouses , which are delicious. This is an experience to savour !",5
91,The Ledbury,Great lunch consistent quality,Have been visiting the Ledbury on and off for years. This last time for lunch with a business group. The service has remained consistently attentive but not too formal. Not bad for London. Food is upper levels of good for England. Occasionally too simplistic but...More,4
92,The Ledbury,A must do lunch date,"This looked the goods in my research, en route to Paris for annual trip which always requires lunch at a 3* for last day. You might say this was a warm up to Paris. All the staff were welcoming and in particular must single out...More",5
93,The Ledbury,Special family dinner,"I have lived in London for 25 years and have been fortunate to have eaten in many top restaurants all over the world. I had not eaten at the Ledbury for 20 years, and I have no idea why.  Maybe I thought it was so...More",5
94,The Ledbury,A superb lunch without breaking the bank!,"We dined at The Ledbury on a weekday ordering from the four course set lunch for 80 GBP.  We have made a practice of visiting high-end restaurants for lunch to experience them at a more sensible price than at dinner.  Everything was perfect: food, service,...More",5
95,The Ledbury,the superlative ledbury,"the ledbury has the appearance, look and style of an exclusive inaccessible dining room, whilst it is at the top end of any ones budget the minute you walk through the door you are made so comfortable any pre conceived misconceptions dissipate.
it is impossible...More",5
96,The Ledbury,Probably the finest lunch.....,"Having read the reviews our expectation was high. We were not disapoointed.
The tasting menu was exquisite.  The creative dishes seemed to go on forever, each course an improvement on the unsurpassible last.
If you are going to eat anywhere and you are looking for...More",5
97,The Ledbury,Special Dinner ,We had wanted to try the Ledbury for some time so we were looking forward to it. We were not disappointed. Exemplary service and fantastic food in a great setting. We all had the tasting menu which was brilliantly adapted for one of the party...More,5
98,The Ledbury,"Excellent tasting menu, made us feel special","A group of us had the 8 course tasting menu washed down with an excellent bottle of Austrian white recommended by the waiter. The food was cooked to perfection, a difficult choice but our favourite being the asparagus soup. 
The waiters were patient, polite and...More",5
99,The Ledbury,Leading Ledbury,"A top restaurant for more than 10 years. No a la carte or choice of set menus , only 1 tasting menu available. Food was overall almost excellent. Service wasn’t as friendly off the bat, the staff needed time to warm up. Had dinner at...More",5
100,The Ledbury,"Superb, flawless","Our third visit to The Ledbury and each one has been flawless. Staff are superb, friendly and effortless. Everything is perfectly cooked and the flavours are genuinely satisfying. Definitely one of the best restaurants in the country.",5
